"artist","song","first_name","last_name","user_id","item_in_session","session_id"
"Gabin featuring China Moses","The Other Way Round (Feat. China Moses)","Layla","Griffin","24","11","879"
"Los Lobos","La Bamba","Aiden","Hess","86","0","978"
"Robert Pollard","We All Got Out (of the Army)","Aiden","Hess","86","1","978"
"MÃÂ¥ns ZelmerlÃÂ¶w","Brother Oh Brother","Aiden","Hess","86","2","978"
"Shakira","Did it Again","Aiden","Hess","86","3","978"
"Showbread","The Pig","Aiden","Hess","86","4","978"
"DHT Feat. EdmÃÂ©e","Listen To Your Heart","Chloe","Cuevas","49","1","982"
"Bersuit Vergarabat","Yo Tomo","Chloe","Cuevas","49","2","982"
"La Roux","Quicksand","Chloe","Cuevas","49","3","982"
"Conjure One","Center Of The Sun","Chloe","Cuevas","49","4","982"
"Graham Colton","On Your Side","Chloe","Cuevas","49","5","982"
"The Starting Line","I'm Real","Chloe","Cuevas","49","6","982"
"Jimmy Eat World","Drugs Or Me","Chloe","Cuevas","49","7","982"
"Pull Tiger Tail","Hurricanes","Chloe","Cuevas","49","8","982"
"OneRepublic","Secrets","Chloe","Cuevas","49","9","982"
"Hannah Montana","The Best Of Both Worlds","Chloe","Cuevas","49","10","982"
"Ramses Shaffy","Laat Me.","Matthew","Jones","36","1","957"
"Van Halen","Why Can't This Be Love (Remastered Version)","Matthew","Jones","36","2","957"
"Method Man","All I Need","Ava","Robinson","50","0","979"
"Mando Diao","Down In The Past","Matthew","Jones","36","3","957"
"The Archies","Sugar Sugar","Ava","Robinson","50","1","979"
"OneRepublic","Apologize","Matthew","Jones","36","4","957"
"Ensiferum","Lady In Black","Matthew","Jones","36","5","957"
"Gold Panda","Win-san Western","Matthew","Jones","36","6","957"
"Dixie Chicks","Tonight The Heartache's On Me","Matthew","Jones","36","7","957"
"Ferry Corsten","Sublime","Matthew","Jones","36","8","957"
"Energy 52","CafÃÂ© Del Mar","Ryan","Smith","26","0","946"
"Babyshambles","Killamangiro","Matthew","Jones","36","9","957"
"Michael BublÃÂ©","Home (Album Version)","Ryan","Smith","26","1","946"
"Steppenwolf","Born To Be Wild","Matthew","Jones","36","10","957"
"Jean Michel Jarre","oxygene 2","Ryan","Smith","26","2","946"
"BjÃÂ¶rk","Undo","Matthew","Jones","36","11","957"
"Anberlin","Alexithymia","Matthew","Jones","36","12","957"
"Metallica","Master Of Puppets","Matthew","Jones","36","13","957"
"Imogen Heap","Hide & Seek","Matthew","Jones","36","14","957"
"Crosby_ Stills & Nash","Long Time Gone  (LP Version)","Chloe","Cuevas","49","0","987"
"Nickel Creek","Scotch & Chocolate","Chloe","Cuevas","49","1","987"
"MF Doom","Guinnesses (feat. Angelika & 4ize)","Matthew","Jones","36","16","957"
"Breaks Co-Op","The Otherside (Acoustic Version)","Ryan","Smith","26","1","989"
"The Streets","War Of The Sexes","Chloe","Cuevas","49","2","987"
"Old 97's","Victoria (LP Version)","Matthew","Jones","36","17","957"
"Martin O'Donnell And Michael Salvatori","Reclaimer","Chloe","Cuevas","49","3","987"
"Kate Voegele","It's Only Life","Matthew","Jones","36","18","957"
"Justin Bieber","Somebody To Love","Chloe","Cuevas","49","4","987"
"Devotchka","Head Honcho","Matthew","Jones","36","19","957"
"Silversun Pickups","Three Seed","Chloe","Cuevas","49","5","987"
"Animal Collective","Winter Wonderland","Matthew","Jones","36","20","957"
"Dinosaur Jr.","Does It Float","Chloe","Cuevas","49","6","987"
"Iam","Contrat De Conscience","Matthew","Jones","36","21","957"
"Sam Sparro","Pocket","Chloe","Cuevas","49","7","987"
"The Ethiopians","Train To Skaville","Matthew","Jones","36","22","957"
"Leonard Cohen","Dance Me To The End Of Love","Chloe","Cuevas","49","8","987"
"Herman's Hermits","I'm Into Something Good","Matthew","Jones","36","23","957"
"Seeed","Tide Is High (Es Geht Auch Anders Mix)","Matthew","Jones","36","24","957"
"Future Rock","Gears","Chloe","Cuevas","49","9","987"
"Three Drives","Greece 2000","Matthew","Jones","36","25","957"
"Eminem","Deja Vu","Chloe","Cuevas","49","10","987"
"Creedence Clearwater Revival","It's Just A Thought","Matthew","Jones","36","26","957"
"Florence + The Machine","Dog Days Are Over (Radio Edit)","Chloe","Cuevas","49","11","987"
"The Kooks","Seaside","Matthew","Jones","36","27","957"
"Yazoo","Don't Go (Live)","Matthew","Jones","36","28","957"
"Hans Zimmer_ James Newton Howard","Macrotus","Chloe","Cuevas","49","12","987"
"Paul Cardall","Scarborough Fair","Matthew","Jones","36","29","957"
"Aretha Franklin","Hello Sunshine","Matthew","Jones","36","30","957"
"Muse","Supermassive Black Hole (Twilight Soundtrack Version)","Chloe","Cuevas","49","13","987"
"Coldplay","Shiver","Matthew","Jones","36","31","957"
"Eric Clapton","Tears In Heaven","Chloe","Cuevas","49","14","987"
"Kate Winslet","What If (Film Version)","Matthew","Jones","36","37","957"
"Roadrunner United","The Enemy (Album Version)","Chloe","Cuevas","49","15","987"
"Flogging Molly","Punch Drunk Grinning Soul","Matthew","Jones","36","38","957"
"Apocalyptica","Quutamo","Chloe","Cuevas","49","16","987"
"Blind Melon","Mouthful Of Cavities","Matthew","Jones","36","39","957"
"Killswitch Engage","In A Dead World (Album Version)","Chloe","Cuevas","49","17","987"
"Charlie Wilson featuring Snoop Dogg","Let It Out","Matthew","Jones","36","40","957"
"Black Eyed Peas","Let's Get It Started","Chloe","Cuevas","49","18","987"
"Coldplay","Don't Panic","Matthew","Jones","36","41","957"
"Tori Amos Featuring Damien Rice","The Power of Orange Knickers","Matthew","Jones","36","42","957"
"Abba","Summer Night City","Matthew","Jones","36","43","957"
"Blu Cantrell Featuring Foxy Brown","Hit 'Em Up Style (Oops!)","Matthew","Jones","36","44","957"
"Keyshia Cole / T.I. / Missy Elliott / Young Dro","Let It Go","Matthew","Jones","36","45","957"
"Maroon 5","Can't Stop","Matthew","Jones","36","46","957"
"Angels and Airwaves","The Gift","Matthew","Jones","36","47","957"
"Silversun Pickups","Lazy Eye [Jason Bentley Remix]","Matthew","Jones","36","48","957"
"65daysofstatic","Drove Through Ghosts to Get Here","Mohammad","Rodriguez","88","0","969"
"Los Abuelos De La Nada","Se Me OlvidÃÂ³ Que Te OlvidÃÂ©","Matthew","Jones","36","51","957"
"STRATOVARIUS","Soul Of A Vagabond","Matthew","Jones","36","52","957"
"Young Money featuring Lloyd","BedRock (Radio Edit) (feat.Lloyd)","Mohammad","Rodriguez","88","1","969"
"The Human League","(Keep Feeling) Fascination (2003 Digital Remaster)","Mohammad","Rodriguez","88","2","969"
"Enya","Aldebaran","Matthew","Jones","36","53","957"
"Alceu ValenÃÂ§a","Eu Te Amo","Mohammad","Rodriguez","88","3","969"
"Nickel Creek","In The House Of Tom Bombadil","Matthew","Jones","36","54","957"
"Linkin Park","Crawling (Album Version)","Brantley","West","28","1","270"
"Matisyahu","King Without A Crown","Mohammad","Rodriguez","88","4","969"
"Bryn Terfel / Berliner Philharmoniker / Claudio Abbado","Wotan's Farewell & Magic Fire Music","Matthew","Jones","36","55","957"
"Jens Lekman","Someone To Share My Life With","Mohammad","Rodriguez","88","5","969"
"Propellerheads","Take California","Mohammad","Rodriguez","88","6","969"
"Daft Punk","Human After All (SebastiAn Remix )","Tegan","Levine","80","0","992"
"Edward Sharpe & The Magnetic Zeros","Home","Mohammad","Rodriguez","88","7","969"
"The Feeling","I Want You Now","Tegan","Levine","80","1","992"
"Crystal Castles","Untrust us","Mohammad","Rodriguez","88","8","969"
"The Black Keys","Busted","Tegan","Levine","80","2","992"
"Timbaland / Keri Hilson / D.O.E.","The Way I Are","Matthew","Jones","36","56","957"
"Oliver Koletzki","Nascita Of The Monsters","Mohammad","Rodriguez","88","9","969"
"Josh Groban","Lullaby [With Ladysmith Black Mambazo] (Album Version)","Tegan","Levine","80","3","992"
"Moonspell","Hers is the twilight","Matthew","Jones","36","57","957"
"Alliance Ethnik","ReprÃÂ©sente","Tegan","Levine","80","4","992"
"Silverchair","Tomorrow","Tegan","Levine","80","5","992"
"Blood Red Shoes","Don't Ask","Matthew","Jones","36","58","957"
"Kurd Maverick","Let's Work","Matthew","Jones","36","59","957"
"Deadmau5","Arguru","Mohammad","Rodriguez","88","10","969"
"Usher Featuring Lil' Jon & Ludacris","Yeah!","Mohammad","Rodriguez","88","11","969"
"The Aztext","Learn to Talk","Matthew","Jones","36","60","957"
"Rey Ruiz","Por Amarte AsÃÂ­","Mohammad","Rodriguez","88","12","969"
"BjÃÂ¶rk","Undo","Matthew","Jones","36","61","957"
"LeAnn Rimes","Probably Wouldn't Be This Way (Dann Huff remix)","Mohammad","Rodriguez","88","13","969"
"Jagged Edge","Addicted To Your Love","Matthew","Jones","36","62","957"
"Gorillaz","Rock The House (Radio Edit)","Tegan","Levine","80","7","992"
"Guns N' Roses","Used To Love Her","Mohammad","Rodriguez","88","14","969"
"Verdena","Phantastica","Matthew","Jones","36","63","957"
"Angus & Julia Stone","Soldier","Tegan","Levine","80","8","992"
"Tegan And Sara","Relief Next To Me (Album Version)","Mohammad","Rodriguez","88","15","969"
"BjÃÂ¶rk","Undo","Matthew","Jones","36","64","957"
"Andrew Gold","Thank You for Being a Friend","Tegan","Levine","80","9","992"
"Platero Y Tu","Imanol","Mohammad","Rodriguez","88","16","969"
"My Chemical Romance","Welcome To The Black Parade (Album Version)","Magdalene","Herman","77","0","707"
"Justin Bieber","Somebody To Love","Mohammad","Rodriguez","88","17","969"
"BlÃÂ¸f","Aanzoek Zonder Ringen (met Kodo)","Tegan","Levine","80","10","992"
"Avenged Sevenfold","Bat Country (Album Version)","Matthew","Jones","36","65","957"
"KMC Feat. Dhany","I Feel So Fine ","Mohammad","Rodriguez","88","18","969"
"Kings Of Leon","Revelry","Magdalene","Herman","77","1","707"
"Faith No More","Midlife Crisis","Tegan","Levine","80","11","992"
"Lily Allen","Him","Matthew","Jones","36","66","957"
"Framing Hanley","Alone In This Bed (Capeside)","Magdalene","Herman","77","2","707"
"Andrew Jackson Jihad","Brave as a Noun","Matthew","Jones","36","68","957"
"Twista","Girl Tonite [Featuring Trey Songz] [Explicit Album Version]","Tegan","Levine","80","12","992"
"Sisqo","Thong Song","Mohammad","Rodriguez","88","19","969"
"Underworld","To Heal","Magdalene","Herman","77","3","707"
"Paramore","The Only Exception (Album Version)","Matthew","Jones","36","69","957"
"Train","Hey_ Soul Sister","Magdalene","Herman","77","4","707"
"Die Mooskirchner","Frisch und g'sund","Tegan","Levine","80","13","992"
"Ron Carter","I CAN'T GET STARTED","Mohammad","Rodriguez","88","20","969"
"Bo Kaspers Orkester","Undantag","Matthew","Jones","36","70","957"
"Kid Cudi / MGMT / Ratatat","Pursuit Of Happiness (nightmare)","Magdalene","Herman","77","5","707"
"Bacilos","Viejo","Matthew","Jones","36","71","957"
"Alejandro Sanz","Y solo se me ocurre amarte (Unplugged)","Mohammad","Rodriguez","88","21","969"
"UNKLE","Burn My Shadow","Matthew","Jones","36","73","957"
"the bird and the bee","My Love","Mohammad","Rodriguez","88","22","969"
"TRUSTcompany","Take It All","Martin","Johnson","55","0","773"
"Pixies","Where Is My Mind?","Matthew","Jones","36","74","957"
"Faith No More","Last Cup Of Sorrow","Mohammad","Rodriguez","88","23","969"
"Big Tymers","Rocky","Matthew","Jones","36","75","957"
"The Darkness","I Believe In A Thing Called Love","Mohammad","Rodriguez","88","24","969"
"D Black","Mais E Mais Amor","Matthew","Jones","36","76","957"
"Craig Mack","Flava In Your Ear","Mohammad","Rodriguez","88","25","969"
"DAVE MATTHEWS BAND","Grux","Tegan","Levine","80","15","992"
"Sugar Pie DeSanto","Soulful Dress","Tegan","Levine","80","16","992"
"Mickie Krause","Orange TrÃÂ¤gt Nur Die MÃÂ¼llabfuhr (Go West)","Mohammad","Rodriguez","88","26","969"
"Mikel Erentxun","Frases Mudas","Tegan","Levine","80","17","992"
"Sigur RÃÂ³s","Gong","Mohammad","Rodriguez","88","27","969"
"Two Door Cinema Club","You Are Not Stubborn","Tegan","Levine","80","18","992"
"Josh Turner","Firecracker","Tegan","Levine","80","19","992"
"El Gran Combo De Puerto Rico","Sin Salsa No Hay ParaÃÂ­so","Mohammad","Rodriguez","88","28","969"
"The Black Keys","Heavy Soul ","Tegan","Levine","80","20","992"
"Muse","Yes Please","Mohammad","Rodriguez","88","29","969"
"Rivers Cuomo","The World We Love So Much","Tegan","Levine","80","21","992"
"Man Man","Van Helsing Boombox","Mohammad","Rodriguez","88","30","969"
"Four Tet","Untangle","Tegan","Levine","80","22","992"
"Usher featuring will.i.am","OMG","Mohammad","Rodriguez","88","31","969"
"The Grateful Dead","Peggy-O [Studio Outtake]","Tegan","Levine","80","23","992"
"Rilo Kiley","I Never (Album Version)","Mohammad","Rodriguez","88","32","969"
"Leonard Cohen","I'm Your Man","Tegan","Levine","80","24","992"
"Justin Bieber","Love Me","Mohammad","Rodriguez","88","33","969"
"Olivier Darock","Miss You","Tegan","Levine","80","25","992"
"Anjulie","Addicted2Me","Mohammad","Rodriguez","88","34","969"
"Rilo Kiley","A Man/Me/Then Jim (Album Version)","Mohammad","Rodriguez","88","35","969"
"Florence + The Machine","Cosmic Love","Tegan","Levine","80","26","992"
"Daft Punk","Harder Better Faster Stronger (Alive Radio Edit 2007)","Tegan","Levine","80","27","992"
"R. Kelly","Your Body's Callin'","Jordan","Hicks","37","0","935"
"Erykah Badu","Fall In Love (your funeral)","Tegan","Levine","80","28","992"
"C.J. Lewis","Sweets For My Sweet","Jordan","Hicks","37","1","935"
"Modest Mouse","Here It Comes","Tegan","Levine","80","29","992"
"Lil Wayne / Bobby Valentino / Kidd Kidd","Mrs. Officer","Tegan","Levine","80","30","992"
"Pantera","Becoming [Live Version]","Tegan","Levine","80","31","992"
"Foo Fighters","DOA","Tegan","Levine","80","32","992"
"Jeremih","My Ride","Tegan","Levine","80","33","992"
"Charttraxx Karaoke","Fireflies","Tegan","Levine","80","34","992"
"Nirvana","Breed","Tegan","Levine","80","35","992"
"Kanye West","Stronger","Tegan","Levine","80","36","992"
"Kiuas","The New Chapter","Tegan","Levine","80","37","992"
"Wet Wet Wet","Love Is All Around","Tegan","Levine","80","38","992"
"Michael BublÃÂ©","Come Fly With Me (Album Version)","Tegan","Levine","80","39","992"
"Jody McBrayer","To Ever Live Without Me","Tegan","Levine","80","40","992"
"No Mercy","Please Don't Go","Tegan","Levine","80","41","992"
"Coldplay","Postcards From Far Away","Samuel","Gonzalez","61","0","876"
"Philippe Rochard","Crumpshit","Samuel","Gonzalez","61","1","876"
"Samy Deluxe","Intro","Tegan","Levine","80","43","992"
"Method Man","Method Man","Tegan","Levine","80","44","992"
"America","Love & Leaving","Samuel","Gonzalez","61","2","876"
"Pet Shop Boys With Dusty Springfield","What Have I Done To Deserve This? (2001 Digital Remaster)","Tegan","Levine","80","45","992"
"Paramore","The Only Exception (Album Version)","Samuel","Gonzalez","61","3","876"
"The Offspring","We Are One","Tegan","Levine","80","46","992"
"Markus Schulz Feat. Departure","Cause You Know","Samuel","Gonzalez","61","6","876"
"Lupe Fiasco feat. Nikki Jean","Hip-Hop Saved My Life (feat. Nikki Jean) (Explicit Album Version)","Tegan","Levine","80","47","992"
"ISRAEL & NEW BREED","If Not For Your Grace","Tegan","Levine","80","48","992"
"Florence + The Machine","Bird Song Intro","Samuel","Gonzalez","61","7","876"
"Crash Romeo","Actions not words","Tegan","Levine","80","49","992"
"Royksopp","Happy Up Here","Tegan","Levine","80","50","992"
"Cage The Elephant","In One Ear","Tegan","Levine","80","51","992"
"The Unwinding Hours","There Are Worse Things Than Being Alone","Tegan","Levine","80","52","992"
"Shakira","La Pared","Tegan","Levine","80","53","992"
"Vader","Fight Fire With Fire","Tegan","Levine","80","54","992"
"Combichrist","red signal","Lily","Burns","32","0","958"
"Good Old War","Just Another Day","Tegan","Levine","80","55","992"
"Regina Spektor","Baobabs (Bonus Album Version)","Tegan","Levine","80","56","992"
"Cartola","Sala De RecepÃÂ§ÃÂ£o","Tegan","Levine","80","57","992"
"The Offspring","Not the One (Album Version)","Tegan","Levine","80","58","992"
"Nirvana","Lithium","Tegan","Levine","80","59","992"
"The Radio Dept.","Where Damage Isn't Already Done","Tegan","Levine","80","60","992"
"OlÃÂ© OlÃÂ©","Con sÃÂ³lo una mirada","Tegan","Levine","80","61","992"
"Lady GaGa","Alejandro","Tegan","Levine","80","62","992"
"The Temper Trap","Fools","Tegan","Levine","80","63","992"
"The Avett Brothers","Go To Sleep","Tegan","Levine","80","64","992"
"Professor Longhair","Mean Ol'World","Ann","Banks","99","0","124"
"Gary Hobbs","En Mi Mundo","Jahiem","Miles","43","1","42"
"Lifehouse","We'll Never Know","Jahiem","Miles","43","2","42"
"Olivia Ruiz","Cabaret Blanco","Jahiem","Miles","43","3","42"
"Jordan Rudess","Tarkus","Cecilia","Owens","6","1","225"
"Deerhunter","Weird Era","Jayden","Graves","25","0","128"
"Daughtry","No Surprise","Jayden","Graves","25","1","128"
"Vinylshakerz","Club Tropicana","Jayden","Graves","25","6","128"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","Jayden","Graves","25","7","128"
"Son House","Depot Blues","Jayden","Graves","25","8","128"
"Jason Mraz & Colbie Caillat","Lucky (Album Version)","Jayden","Graves","25","9","128"
"The Romantics","Talking In Your Sleep","Jayden","Graves","25","10","128"
"The Postal Service","Such Great Heights","Jayden","Graves","25","11","128"
"Tweet","Always Will (LP Version)","Jayden","Graves","25","12","128"
"Gang Starr/Inspectah Deck","Above The Clouds (Edited)","Jayden","Graves","25","13","128"
"Kanye West","Coldest Winter","Jayden","Graves","25","14","128"
"Shunza","Nan Ni Wan","Jayden","Graves","25","15","128"
"Erykah Badu","Back In The Day","Jayden","Graves","25","16","128"
"Mariza","Vielas De Alfama","Maia","Burke","51","0","143"
"Asia 2001","Epilogue","Jayden","Graves","25","22","128"
"Alejandro Sanz","Non E_ Per Te_ Per Me","Maia","Burke","51","1","143"
"The Casualties","Fight For Your Life","Jayden","Graves","25","23","128"
"Alliance Ethnik","ReprÃÂ©sente","Jayden","Graves","25","24","128"
"Hey Monday","Run_ Don't Walk","Jayden","Graves","25","25","128"
"Silverchair","The Door","Jayden","Graves","25","26","128"
"El DeBarge","Love Always","Jayden","Graves","25","27","128"
"Evanescence","Bring Me To Life","Jayden","Graves","25","28","128"
"Ludovico Einaudi","The Snow Prelude No. 2","Jayden","Graves","25","30","128"
"Caifanes","Ayer Me Dijo Un Ave","Jayden","Graves","25","31","128"
"The xx","Basic Space","Jayden","Graves","25","32","128"
"Swizz Beatz","Big Munny","Jayden","Graves","25","33","128"
"OutKast","Ms. Jackson","Jayden","Graves","25","34","128"
"The Black Keys","The Only One","Jayden","Graves","25","35","128"
"Nappy Roots [featuring Anthony Hamilton]","Po' Folks","Jayden","Graves","25","36","128"
"Whitesnake","Fool For Your Loving","Jayden","Graves","25","37","128"
"Foolish Things","Who Can Compare","Jayden","Graves","25","38","128"
"Soda Stereo","PrÃÂ³fugos","Jayden","Graves","25","39","128"
"Edward Sharpe & The Magnetic Zeros","Home","Jayden","Graves","25","40","128"
"Anberlin","Dismantle. Repair.","Aleena","Kirby","44","0","196"
"L-7","Shitlist","Aleena","Kirby","44","2","196"
"Future Of The Left","Fingers Become Thumbs","Aleena","Kirby","44","4","196"
"Franz Ferdinand","Call Me","Aleena","Kirby","44","5","196"
"Travie McCoy","Billionaire [feat. Bruno Mars]  (Explicit Album Version)","Aleena","Kirby","44","6","196"
"Lily Allen","Smile","Aleena","Kirby","44","7","196"
"Rancid","Fall Back Down (Album Version)","Aleena","Kirby","44","8","196"
"Katy Perry","I'm Still Breathing","Aleena","Kirby","44","9","196"
"Freestylers","Punks (Krafty Kuts Remix)","Aleena","Kirby","44","10","196"
"Kid Rock","All Summer Long (Album Version)","Rylan","George","16","1","15"
"LITE","On A Gloomy Evening","Aleena","Kirby","44","11","196"
"The Killers","When You Were Young","Rylan","George","16","2","15"
"Hymie's Basement","Ghost Dream","Aleena","Kirby","44","12","196"
"Pavement","Rooftop Gambler","Aleena","Kirby","44","13","196"
"Trey Songz","Can't Help But Wait (Album Version)","Rylan","George","16","3","15"
"Shakira","La Pared","Aleena","Kirby","44","14","196"
"Billy J Kramer & The Dakotas","Tennessee Waltz (Live)","Rylan","George","16","4","15"
"Arctic Monkeys","D is for Dangerous","Aleena","Kirby","44","15","196"
"Dashboard Confessional","Ghost Of A Good Thing","Rylan","George","16","5","15"
"Moby","Lift Me Up","Aleena","Kirby","44","18","196"
"Dan Deacon","Snookered","Aleena","Kirby","44","19","196"
"Puddle Of Mudd","Psycho","Aleena","Kirby","44","20","196"
"Red Hot Chili Peppers","Snow [Hey Oh] (Album Version)","Aleena","Kirby","44","21","196"
"The Barbarians","Memphis_ Tennessee","Aleena","Kirby","44","22","196"
"Julia Fordham","Jump (Live)","Aleena","Kirby","44","23","196"
"Alicia Keys","Streets Of New York (City Life)","Aleena","Kirby","44","24","196"
"Regina Spektor","Another Town","Aleena","Kirby","44","25","196"
"Deborah Harry & Iggy Pop","Well Did You Evah!","Aleena","Kirby","44","26","196"
"Dr. Dre / Eminem / Alvin Joiner","What's The Difference","Aleena","Kirby","44","27","196"
"Marcel Woods","Advanced (Ton T.B. Mix)","Aleena","Kirby","44","28","196"
"OneRepublic","Apologize","Aleena","Kirby","44","29","196"
"Beastie Boys","The Maestro","Aleena","Kirby","44","30","196"
"Paramore","The Only Exception (Album Version)","Aleena","Kirby","44","31","196"
"Varios","Hasta siempre","Aleena","Kirby","44","32","196"
"The Black Keys","Howlin For You","Aleena","Kirby","44","33","196"
"Muse","Feeling Good","Aleena","Kirby","44","34","196"
"Frankie J","Daddy's Little Girl","Aleena","Kirby","44","35","196"
"Kirk Franklin & The Family","Now Behold The Lamb","Aleena","Kirby","44","36","196"
"Cooly's Hot Box","Make Me Happy","Aleena","Kirby","44","37","196"
"Ron Van Den Beuken","Timeless","Cecilia","Owens","6","0","229"
"Sparks","Lost And Found","Aleena","Kirby","44","38","196"
"Regina Spektor","The Calculation (Album Version)","Aleena","Kirby","44","39","196"
"Subhumans","Rain","Aleena","Kirby","44","40","196"
"Sia","Beautiful Calm Driving","Aleena","Kirby","44","43","196"
"Shadows Fall","Lead Me Home","Aleena","Kirby","44","44","196"
"Eminem / Dr. Dre / 50 Cent","Crack A Bottle","Aleena","Kirby","44","45","196"
"Vampire Weekend","Oxford Comma (Album)","Aleena","Kirby","44","46","196"
"Eddie Floyd","Guess Who","Lily","Burns","32","1","31"
"The Swell Season","If You Want Me (Live)","Sylvie","Cruz","10","0","220"
"Alex Band","Tonight (Single Mix)","Jordan","Hicks","37","0","145"
"Nightwish","The Islander","Sylvie","Cruz","10","1","220"
"Cartola","As Rosas NÃÂ£o Falam","Brantley","West","28","0","133"
"Vampire Weekend","I Think Ur A Contra","Brantley","West","28","1","133"
"Sebadoh","Hassle","Brantley","West","28","2","133"
"Incubus","Wish You Were Here","Brantley","West","28","3","133"
"Blue States","Allies","Brantley","West","28","4","133"
"Octopus Project","Hypnopaedia","Magdalene","Herman","77","1","141"
"Mike Posner","Cooler Than Me","Jahiem","Miles","43","0","228"
"Alliance Ethnik","ReprÃÂ©sente","Chloe","Roth","78","0","176"
"Gang Starr/Inspectah Deck","Above The Clouds (Edited)","Chloe","Roth","78","3","176"
"Was (Not Was)","Shake Your Head","Braden","Parker","74","1","164"
"23 Skidoo","Crossfire","Chloe","Roth","78","4","176"
"Dwight Yoakam","You're The One","Chloe","Roth","78","5","176"
"Finger Eleven","Obvious Heart","Adler","Barrera","100","1","198"
"Shaggy","Intoxication","Adler","Barrera","100","2","198"
"Kid Cudi","Up Up & Away","Anabelle","Simpson","69","0","235"
"Klaus Doldinger's Passport","Fairy Tale","Adler","Barrera","100","3","198"
"Aesop Rock","None Shall Pass (Main)","Anabelle","Simpson","69","1","235"
"Salt 'n' Pepa with En Vogue","Whatta Man (Salt-N-Pepa Featuring En Vogue) (EP Version)","Bronson","Harris","33","0","134"
"Tiger Army","Ghost Tigers Rise (Album Version)","Bronson","Harris","33","1","134"
"NEEDTOBREATHE","Don't Wait For Daylight (Album Version)","Bronson","Harris","33","2","134"
"Baby Huey & The Baby Sitters","Hard Times (LP Version)","Tegan","Levine","80","0","243"
"Justin Bieber","Somebody To Love","Tegan","Levine","80","1","243"
"David Byrne & Fatboy Slim feat. Charmaine Clamor","Walk Like A Woman (Album Version)","Tegan","Levine","80","2","243"
"Taylor Swift","You Belong With Me","Tegan","Levine","80","3","243"
"Ottmar Liebert","Festival (Of 7 Lights)","Tegan","Levine","80","4","243"
"The Roots","Dynamite!","Jacob","Klein","73","0","72"
"Foo Fighters","Learn To Fly","Jacob","Klein","73","1","72"
"El Hombre Burbuja","Buzos (En La Luna)","Jacob","Klein","73","2","72"
"Rock Kills Kid","Back To Life (Album Version)","Jacob","Klein","73","3","72"
"Manu Chao","Me Quedo Contigo [Si Me Das A Elegir]","Jacob","Klein","73","4","72"
"B.o.B","Nothin' On You [feat. Bruno Mars] (Album Version)","Jacob","Klein","73","5","72"
"Baby Boy Da Prince / Mannie Fresh","Naw Meen","Jacob","Klein","73","6","72"
